nom;secteur;region;info
CHAMBRE ALGERIENNE DE LA PÊCHE ET DE L’AQUACULTURE ( CAPA);agricule;Algérie;+213 21 42 33 08
CHAMBRE DE COMMERCE ET D’INDUSTRIE ALGERO FRANCAISE CCIAF;agricule;Algérie;+213(0) 23 50 70 19
CHAMBRE DE COMMERCE ET D’INDUSTRIE ALGERO FRANCAISE CCIAF;agricule;Algérie;+213(0) 23 50 70 19
CHATLAT SOLUTIONS – SARL;agricule;Algérie;Pépinière
CHICCHI ET MAGLI;agricule;Italie;-
CHIODA;agricule;Italie;-
CHIODA DANIELE C S N C;agricule;Italie;+39 030 36 36 01
CID LINES;agricule;Belgique;-
CIDAPE PETERSIME;agricule;France;+33 1 44 85 25 25
CIMAS INDUSTRIE SARL;agricule;Tunisie;+216 724 206 89
CIMAS S.r.l.;agricule;Italie;+39 0755918339 | Fax : +39 0755913063
CLASS;agricule;Allemagne;-
CLIMATEC BOULANAACHE – SARL;agricule;Algérie;+213 25 33 36 36
CLUB ENVIRONNEMENT;agricule;Algérie;+213 793 54 23 95
CNRDPA;agricule;Algérie;+213 24 32 64 10
COBB;agricule;-;-
Cobb Española S.A;agricule;Espagne;+34 918 89 06 17
COFEED – SARL;agricule;Algérie;+213 561 75 12 86
COLBERT PLAST – SARL;agricule;Algérie;+213 557 85 66 33
COMPAGNIE ALGERIENNE TRADING MITIDJA ( CATM);agricule;Algérie;23 584 161
CONCETTI S.P.A;agricule;Italie;39 075 801 561
CONFEDERATION ALGERIENNE DU PATRONAT CAP;agricule;Algérie;+213 23 80 46 66
CONTROL UNION NEDERLAND B.V.;agricule;Pays Bas;+31 10 282 3390
COOPÉRATIVE AGRICOLE POLYVALENTE El ANFEL;agricule;Algérie;36 740 045
COOPEX;agricule;France;-
COSIDER AGRICO SPA;agricule;Algérie;+213 23 44 04 51
CPM EUROPE B.V.;agricule;Pays Bas;31756512611
CRD;agricule;France;33 243 304 590
CREA;agricule;Algérie;-
CREDIT POPULAIRE D’ALGERIE CPA;agricule;Algérie;+213 23 50 82 87
CUISINOX – SARL;agricule;Algérie;23 811 576
CULTURES MARINES CULTMARE – SPA;agricule;Algérie;+213 560 05 35 00
DATE AND VEGETABLE DJR;agricule;Algérie;+213(0) 551 21 75 28
Delaval international AB;agricule;Suède;-
DELIBA – SARL;agricule;Algérie;+213 550 26 18 64
DELTAGRO EXPORT;agricule;France;+33 4 77 97 71 49
DEM?RAYAK TARIM MAK?NLARI;agricule;Turquie;0544 351 44 79
DERNA PLAN – EURL;agricule;Algérie;+213 770 14 17 70
DGF;agricule;Algérie;+213 23 23 82 48 023 23 82 76
DIAM GRAIN – SPA;agricule;Algérie;+213 21 85 13 27
DIRECTION GENERALE DE LA PECHE ET DE L’AQUACULTURE – MINISTERE DE L’AGRICULTURE, DU DEVELOPPEMENT RURAL ET DE LA PÊCHE;agricule;Algérie;+213 23 39 82 14
DJEZZY;agricule;Algérie;+213 770 09 25 95
DJOUDI METAL;agricule;Algérie;+213 23 94 01 99
DP AVIC – SARL;agricule;Algérie;+213 21 33 97 04
DRIPGLOBE SYSTÈMES D’IRRIGATION -SARL;agricule;Algérie;+213 540 42 13 64
ECFERAL;agricule;Algérie;+213(0) 23 75 50 77
ECO BAG EURL;agricule;Algérie;+213 670 10 70 70
ÉCOLE NATIONALE SUPÉRIEURE DES SCIENCES DE LA MER ET DE L’AMÉNAGEMENT DU LITTORALE – ENSSMAL;agricule;Algérie;+213 23 31 21 75
ECOVRAC;agricule;France;-
ÉDITION PRESSE AGROLINE;agricule;Algérie;+334 676 592 91
EL MAZRAA LOUNIS -SARL;agricule;Algérie;+213 24 97 55 55
EL REDHOUANE VOLAILLES – SARL;agricule;Algérie;660 905 603
ELECTROMECCANICA VENETA SRL;agricule;Italie;390 456 020 136
ELMOKRETAR AQUA – SARL;agricule;Algérie;+213(0) 27 45 45 90
EMBASSY OF REPUBLIC OF UGANDA ALGIERS;agricule;Algérie;+213 23 27 80 83
EMKA HATCHERY EQUIPMENT BV;agricule;Belgique;+32 56 356 207
EMPREINTE RH EURL;agricule;Algérie;+213 21 57 04 23-27
ENERSYS – ENERGY EFFICIENT SYSTEMS;agricule;Allemagne;+49 8102 99791 90
ENSA (ex INA);agricule;Algérie;+213 23 82 85 13
ENSV;agricule;Algérie;+213 21 98 86 10
EPE ALRIM SPA;agricule;Algérie;+213 555 74 13 47
EPE ASFERTRADE SPA;agricule;Algérie;+213 38 50 88 05
EPE ASMIDAL SPA;agricule;Algérie;+213 38 43 58 53
EPE PMAT SPA;agricule;Algérie;+213 23 44 40 52+213 23 44 40 55
EPE/SPA ANABIB;agricule;Algérie;+213 35 87 31 43
EPTV (LA CHAINE PARLEMENTAIRE DE L’ETABLISSEMENT PUBLIC DE TELEVISION);agricule;Algérie;0770 58 11 30
ER MAK MAK?NA TORNA HIRDAVAT SAN.T?C.LTD.?T?.;agricule;Turquie;902 362 140 271
ERGUNBAS PIPE;agricule;Turquie;-
ERHAS BORU VE MAK?NA EK?PMANLARI ENDÜSTR?S? A.?.;agricule;Turquie;-
ESSAIA;agricule;Algérie;+213 23 82 90 93
ETKA POWER COMPANY – SARL;agricule;Algérie;+213(0)560 06 07 47
ETS DUGUE SAS;agricule;France;-
ETS LABANI MEROUANE ( BIOFA);agricule;Algérie;+213 560 08 31 37
ADH PROTECLEANS – EURL;agricule;Algérie;44756515
AGROVAST – EURL;agricule;Algérie;+213(0)21 81 12 25
AKSA GENERATEURS ALGERIE – EURL;agricule;Algérie;023 92 06 56
ALGERIA ANIMAL CARE – EURL;agricule;Algérie;+213 25 208 276
ANABIB PLASTIQUE – EURL;agricule;Algérie;+213 554 50 46 87
AQUAVET IMPORT EXPORT – EURL;agricule;Algérie;+213 23 31 32 48
AVIBEL – EURL;agricule;Algérie;+213 550 62 12 60
BACHICOO – EURL;agricule;Algérie;+213(0) 770 78 60 23
BIO AGR – EURL;agricule;Algérie;672374276
BRUMALGERIE – EURL;agricule;Algérie;+213 44 65 27 26
BVH NUTRITION – EURL;agricule;Algérie;036 53 36 36
CITE TUBES – EURL;agricule;Algérie;+213(0)561 66 72 75
COQ HODNA – EURL;agricule;Algérie;+213 35 57 96 29
DIMA MACHINERY – EURL;agricule;Algérie;+213 561 81 08 79
EL DJARISSI GROUPE – EURL;agricule;Algérie;+213 25 48 01 26
EL SANABEL FABRICO – EURL;agricule;Algérie;0770 26 26 50
EUROFEDER;agricule;France;33 385 252 555
EUROMAT EXPORT;agricule;France;+33 770 92 51 61
EUROPROGRESS SRL;agricule;Italie;39 053 526 090
F.LLI FRAGOLA SPA;agricule;Italie;39 075 805 291
FALAIT SPA;agricule;Algérie;+213 23 85 05 13-14
FALC;agricule;Italie;-
FALCON PLASTIC PRODUCTS COMPANY;agricule;Arabie Saoudite;966 112 651 531
FAMAP;agricule;Algérie;+213(0) 798 68 20 28
FAMSUN CO. LTD.;agricule;Chine;+86 514 858 28 888
FBF IMPORT EXPORT – EURL;agricule;Algérie;213 661 512 267
FCM-JIANGSU FIVE CONTINENTS MACHINERY CO., LTD.;agricule;Chine;87272211
FEEDCOM SA;agricule;Tunisie;21 629 109 082
FERME NUMIDE – SARL;agricule;Algérie;+213 661 70 70 90
FERTIAL SPA;agricule;Algérie;+213 38 59 40 03
FILAHA NEWS;agricule;Algérie;-
FILMOPLAST SARL;agricule;Algérie;213 550 195 703
FLORA PLASTIC – SARL;agricule;Algérie;+213 25 20 65 94
FOSFAN SA;agricule;Pologne;+48 91 44 55 600
FROIDIS REFRIGERATION -SARL;agricule;Algérie;043212770 - 9438
FUTUR VETA – EURL;agricule;Algérie;+213 550 32 54 40
GBB ANIMAL HEALTH -SARL;agricule;Algérie;+213 36 47 90 40
GEOTRANS – SARL;agricule;Algérie;+213 25 27 61 99
GLOBAL AGRI-FOOD SPA;agricule;Algérie;+213 21 65 72 03
GLOBAL HYDAGRI SERVICE – SARL;agricule;Algérie;+213 25 26 98-99-94
GOWEIL MACHINENBAU GMBH;agricule;Autriche;-
GRANDFAR ALGERIE;agricule;Algérie;+213 (0)770 61 07 33
GRANT THORNTON SPA;agricule;Algérie;+213 23 37 52 31
GREEN;agricule;Italie;-
GREEN PLANT FOR FERTILIZERS AND CHEMICAL INDUSTRIES;agricule;Jordanie;962 799 404 832
GRIMME LANDMASCHINEN GMBH & CO. KG;agricule;Allemagne;+49 549 166 624 15
GROUP SF COMMUNIICATION – EURL;agricule;Algérie;+213 541 61 39 29
GROUPE AGROLOG SPA;agricule;Algérie;+213 21 88 09-10
GROUPE OUCHERIF DES INDUSTRIES ALIMENTAIRES – SARL;agricule;Algérie;+213 550 46 50 84
GROUPE PHARMACEUTIQUE MADANI GPM – SARL;agricule;Algérie;+213 31 74 11 17
Groupe Roullier;agricule;France;-
GUETTINVEST – SARL;agricule;Algérie;+213 661 80 85 0
H & N INTERNATIONAL;agricule;Allemagne;-
HAMIDI ENERGIE – EURL;agricule;Algérie;+213(0) 560 90 65 97
HANI FROID ET CIE – SNC;agricule;Algérie;+213 561 66 66 47
HELLMANN POULTRY GMBH & CO KG;agricule;Allemagne;49 444 192 590
HODNA LAIT – SARL;agricule;Algérie;+213 35 54 77 77
HUBBARD -S.A.S;agricule;Algérie;+33 296 79 63 70
HUNTER INDUSTRIES,INC;agricule;Usa;-
IDEAL SOURCE  – SARL;agricule;Algérie;+213 560 29 76 60
IDRA ITALIA SRL;agricule;Italie;390 803 050 344
IECO EMBALLAGE;agricule;Algérie;+213(0) 25 26 90 50
IFF – DANISCO ANIMAL NUTRITION AND HELATH;agricule;Pays Bas;-
ILOOK – SARL;agricule;Algérie;+213 555 04 66 32
IMECE PLAST?K TARIM ?N?AAT TAAHHÜT PETROL ÜRÜNLER? VE GIDA SANAY? T?CARET ANON?M ??RKET?;agricule;Turquie;+90 242 258 02 40
INDEFRIGO – SARL;agricule;Algérie;+213 23 71 54 32
INPV;agricule;Algérie;+213 23 82 88 86
INRAA;agricule;Algérie;+213 23 82 85 68
INRF;agricule;Algérie;+213 21 90 12 33
INSTITUT NATIONAL SUPERIEUR DE LA PÊCHE ET DE L’AQUACULTURE INSPA;agricule;Algérie;+213 21 43 08 31
INTER EST ALGERIE – SARL;agricule;Algérie;213 782 140 031
INTERBEV;agricule;France;+33 (0) 1 42 80 99 83
INTERCHEMIE WERKEN DE ADELAAR B.V;agricule;Pays Bas;-
INTERDEVLOP – SARL;agricule;Algérie;+213 562 22 08 70
INVA;agricule;Algérie;021 44 03 53
INVOTECH;agricule;Chine;-
IRRI PIPE – SARL;agricule;Algérie;+213 36 47 97 77
IRRIDEL BASSIN – SARL;agricule;Algérie;+213 0560 94 20 20
IRRIGATION BUSINESS CONSULTING;agricule;Algérie;+213 23 24 48 01
ISA SAS;agricule;France;+33 24 174 21 21
ISOLAB TUNISIE;agricule;Tunisie;216 873 131
ITCMI;agricule;Algérie;+213 23 39 10 68
ITELV;agricule;Algérie;+213 23 57 01 79 -86
?TEM MAKINE;agricule;Turquie;+90 266 721 03 81-82
ITGC;agricule;Algérie;+213 23 82 85 53
JS? (PETERBURGSKY TRAKTORNY ZAVOD), KIROVETS;agricule;Russie;79 112 860 062
KEBAILI MEROUANE -EURL;agricule;Algérie;-
KENFA GREEN – SARL;agricule;Algérie;0661 46 10 10
KHIDER ABDELKADER – EURL;agricule;Algérie;+213 550 24 08 27
KOMSILAJ  – SARL;agricule;Algérie;+213 558 03 87 88
KOUDIJS ANIMAL NUTRITION B.V.;agricule;Pays Bas;-
KUTLUSAN ICVE DIS TICARET A.S.;agricule;Turquie;905 303 704 552
LA FONTAINE TRAITEUR;agricule;Algérie;+213 553 21 70 76
LAITERIE SOUMMAM – SARL;agricule;Algérie;+213 34 35 86 20
L’ALGERIENNE DES ASSURANCES SPA (GIG);agricule;Algérie;+213(0) 23 77 21 12
LALLEMAND;agricule;Canada;-
LANDA SAS;agricule;France;33 251 489 442
L’AVANNOTTERIA SOC. AGRICOLA A R.L.;agricule;Italie;393 442 821 346
LE ROY;agricule;France;+33 2 52 32 28 47
LEADER SEED – SARL;agricule;Algérie;+213(0) 770 79 83 03
LEMKEN GMBH & CO KG;agricule;Allemagne;492802810
LES MOULINS AIN LARBAA – SARL;agricule;Algérie;+213 560 40 37 69
LIFEYE SARL;agricule;Tunisie;+216 53 418 775
LNCAPPASM;agricule;Algérie;+213 23 39 82 24
LOCHAMP INTERNATIONAL CO LTD;agricule;Chine;8 637 189 910 657
LOTUS SAT – SARL;agricule;Algérie;+213 35 36 53 53
LUBING INTERNATIONAL;agricule;France;+33 3 21 27 60 68
M BIO VET SARL;agricule;Algérie;213 555 150 586
MAG CONSTRUCTION MATERIEL AGRICOLE ET DE MANUTENTION – SARL;agricule;Algérie;+213 25 26 90 61
MAISON BIOKTAR;agricule;Algérie;+213 553 82 91 23
MANITOU;agricule;France;-
MARTECE;agricule;Algérie;+213(0) 770 57 79 17
MASSON ET FILS SARL;agricule;France;+213 23 88 47 24
MASSON & FILS;agricule;France;Tél : 04 75 76 03 90 | Fax : 04 75 76 05 96
MATAGRI FABRICATION MATERIEL DE TRAITEMENT AGRICOLE – SARL;agricule;Algérie;+213 25 26 90 61 - 43 69 80- 43 69 82
MATELEVAGE SERVICES – SARL;agricule;Algérie;034 33 10 71
MAZRAA BELLAT LAKHDAR (GROUPE BELLAT);agricule;Algérie;+213 560 03 70 16
MBVET SARL;agricule;Algérie;+213 561 64 12 55
MECAFA ALGERIE – SARL;agricule;Algérie;+213 23 751 604
MEDIA EXPERT;agricule;Algérie;+213(0) 550 06 44 33
MEDIA EXPERT;agricule;Algérie;+213(0) 550 06 44 33
MedIna Events / Salon PAMED;agricule;Tunisie;+216 99 102 175
MEDITERRANEAN FEED INDUSTRY;agricule;Tunisie;+216 28 838 040
MEGA AGRI – EURL;agricule;Algérie;+213 560 006 991-92-93
MELINVEST JSC;agricule;Russie;783 122 180 932
MERAD FABRICOM – SARL;agricule;Algérie;+213 555 15 05 86
Meyn Food Processing Technology B.V;agricule;Pays Bas;-
MG2MIX;agricule;France;-
MILAVETA – EURL;agricule;Algérie;+213(0) 558 41 54 68
MILKRITE | INTERPULS;agricule;Italie;390 522 347 501
MIXTRADE – EURL;agricule;Algérie;+213 24 70 93 40-41
MM COMMUNICATION – EURL;agricule;Algérie;+213 550 99 33 46
MOFVET IMPORT EXPORT – SARL;agricule;Algérie;+213 36 55 78 07
MORENOT AQUACULTURE AS;agricule;Norvège;+47 70 20 95 00
MOTOREST;agricule;Algérie;+213 23 87 07
MSD ANIMAL HEALTH (intervet/Sherin Plough);agricule;Algérie;+213 023 98 20 46
NECTRA;agricule;France;33 298 725 459
NORMEC GROEN AGRO CONTROL;agricule;Pays Bas;+31 15 257 25 11
NSDA – SARL;agricule;Algérie;+213 560 09 11 10
NTD ALGERIE – SARL;agricule;Algérie;+213 770 63 44 96
NUTAGRA – SARL;agricule;Algérie;+213 34 15 01 31
NUTRICAL – SARL;agricule;Algérie;+213 674 52 84 00
NUTRISERVICE S.R.L. (TDM TOTAL DAIRY MANAGEMENT );agricule;Italie;390 309 979 810
OFFICINE FACCO S.P.A.;agricule;Italie;390 499 698 111
OMAZ;agricule;Italie;+39 0733 811125 Fax: +39 0733 811255
OMEDIA EURL;agricule;-;-
ORGANISATION DES NATIONS UNIES POUR L’ALIMENTATION ET L’AGRICULTURE (FAO);agricule;Algérie;+213 23 50 90 88
ORTA? DE??RMEN MAK?NALARI ?Ç VE DI? T?CARET LTD. ?T?.;agricule;Turquie;90 332 239 01 97
OVORIDER DWC – LLC;agricule;Émirats Arabes Unis;971 507 873 948
OVOZACCAR – SARL;agricule;Algérie;+213 25 23 37 75
OXFAM;agricule;Algérie;213 656 108 520
PACIFIC COM EURL;agricule;Algérie;+213 661 11 35 97
PALAIS DU CAFE – SARL;agricule;Algérie;+213 661 94 47 44
PALIBEST – SARL;agricule;Algérie;-
PANITTICA ITALIA;agricule;Italie;390 804 829 966
PATRON AGRI SYSTEMS;agricule;Pays-Bas;+31(0)880072300
PATURAGES D’ALGERIE – SARL;agricule;Algérie;+213 555 00 85 26
PEGAS-AGRO;agricule;Russie;+7(846)202 59 10
PEPINIERES STAR EXPORT FRANCE;agricule;France;33 686 680 697
PETKUS TECHNOLOGIE GMBH;agricule;Allemagne;+49 369 219 80
PHARMALEAD – SARL;agricule;Algérie;+213 23 06 89 00
PHILEO;agricule;France;33 633 267 659
PLASTIQUE EL GHALLA – SARL;agricule;Algérie;770770534
PORT ENVIRONNEMENT – EURL;agricule;Algérie;+213 661 60 34 34
POULTEC N.V.;agricule;Belgique;+323 22 69 850
PRIME AGRO IRRIGATION – SARL;agricule;Algérie;+213 770 66 58 04
PRIVE SA;agricule;France;+33 3 26 68 66 66
PROFILSAN PRODUCTION – SARL;agricule;Algérie;+213 560 58 83 64
PROGRAMME ECONOMIE BLEU-EXPERTISE FRANCE;agricule;Algérie;+213 (0)23 48 09 09
PROVAST – EURL;agricule;Algérie;+213 23 33 20 72
Q-POTATO HOLLAND B.V.;agricule;Pays-Bas;31 514 533 188
RAUCH LADMACHINENFABRIK GMBH;agricule;Allemagne;4 915 254 666 241
REINKE IRRIGATION SYSTEMS;agricule;Afrique du sud;+27 87 654 5828
REPI TOUAHRI FRERS – EURL;agricule;Algérie;+213 23 97 61 35
River Systems srl;agricule;Italie;+39 049 9202464 | fax: +39 049 9216057
RN7SA;agricule;France;+336 875 903 95
RÖHREN- UND PUMPENWERK BAUER GMBH;agricule;Autriche;+43 3142 200-0
ROSSPETSMASH ASSOCIATION;agricule;Russie;+7 (495) 781-37-56
ROSTSELMASH;agricule;Russie;79515250875
ROTA GUIDO SRL;agricule;Italie;+39 0372 931 19
ROXELL NV;agricule;Belgique;+32 50 72 91 72
SAFANA FABRICATION NUTRITION ANIMALE – SARL;agricule;Algérie;+213 36 93 33 50
SAFIOR SARL;agricule;Algérie;0540 33 00 00-0558 61 80 33
SB IMPIANTI SRL;agricule;Italie;+39 03 09 61 180
SCARABELLI IRRIGAZIONE;agricule;Italie;+39 51 76 33 63
SCIPP OUEST – SARL;agricule;Algérie;+213 48 75 11 21
SEKO INDUSTRIE SRL;agricule;Italie;+39 049 969 98 73
SELAMI DATES;agricule;Algérie;+213 661 31 08 96
SGS QUALITEST ALGERIE SPA;agricule;Algérie;+213 23 23 08 94-99
SHANGHAI ZHENG CHANG INTERNATIONAL MACHINERY AND ENGINEERING CO .LTD;agricule;Chine;+86 21 6418 5529
SILOS HANDLING MILLS INSTALLATION;agricule;Algérie;+213 661 63 31 36
SIMAREG AGRICOLE;agricule;Algérie;+213 23 27 61 20
SIMBAT IMPORT EXPORT – SARL;agricule;Algérie;+213 26 19 34 11
SIRAGRO – SARL;agricule;Algérie;+213 45 4803 25
SITEP TUBOPLAST – SARL;agricule;Algérie;23696667
SKOV A/S;agricule;Danemark;4572175555
SKRETTING;agricule;Espagne;34 947 400 301
SMART COLD ENGINEERING -EURL;agricule;Algérie;+213 0671 46 00 00
